Season,Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total,Match_ID,Won,Attack_Efficiency,SERVE_Efficiency,RECEPTION_Efficiency,BLOCK_Efficiency,DIG_Efficiency,Serve_Efficiency,Reception_Efficiency
2021,2021-05-30,Iran,Netherlands,3,0,25,25,30,0,0,18,23,28,0,0,60,44,9,7,-,44,9,20,73,9,11,7,27,7,20,51,78,19,5,34,58,24,13,44,21,0,51,72,2021-05-30_Iran_Netherlands,1,1.75,-0.2549019607843137,0.4117647058823529,-0.2857142857142857,0.25,-0.2549019607843137,0.4117647058823529
2021,2021-05-30,Netherlands,Iran,0,3,18,23,28,0,0,25,25,30,0,0,43,35,3,5,-,35,15,33,83,3,18,7,28,5,13,53,71,13,7,38,58,31,12,43,21,0,63,84,2021-05-30_Iran_Netherlands,0,0.6060606060606061,-0.1509433962264151,0.15789473684210525,-2.142857142857143,0.4418604651162791,-0.1509433962264151,0.15789473684210525
2021,2021-05-30,Italy,Serbia,1,3,23,25,22,18,0,25,22,25,25,0,56,48,7,1,-,48,16,56,120,7,17,21,45,1,16,72,89,23,4,47,74,47,20,71,17,0,103,120,2021-05-30_Italy_Serbia,0,0.5714285714285714,-0.20833333333333334,0.40425531914893614,-0.47619047619047616,0.38028169014084506,-0.20833333333333334,0.40425531914893614
2021,2021-05-30,Serbia,Italy,3,1,25,22,25,25,0,23,25,22,18,0,76,61,11,4,-,61,14,50,125,11,17,24,52,4,22,70,96,24,1,48,73,44,14,60,26,2,94,122,2021-05-30_Italy_Serbia,1,0.94,-0.2571428571428571,0.4791666666666667,-0.25,0.5,-0.2571428571428571,0.4791666666666667
2021,2021-05-30,Japan,Russia,3,2,28,26,20,25,16,26,28,25,21,14,85,75,7,3,-,75,21,47,143,7,15,11,33,3,21,90,114,27,7,63,97,52,33,92,32,0,105,137,2021-05-30_Japan_Russia,1,1.148936170212766,-0.2,0.31746031746031744,-0.7272727272727273,0.20652173913043478,-0.2,0.31746031746031744
2021,2021-05-30,Russia,Japan,2,3,26,28,25,21,14,28,26,20,25,16,90,65,18,7,-,65,19,42,126,18,31,19,68,7,18,90,115,36,3,54,93,37,15,60,42,0,81,123,2021-05-30_Japan_Russia,0,1.0952380952380953,-0.12222222222222222,0.6111111111111112,-0.6842105263157895,0.36666666666666664,-0.12222222222222222,0.6111111111111112
2021,2021-05-30,Poland,Slovenia,1,3,22,25,19,23,0,25,23,25,25,0,62,51,8,3,-,51,18,59,128,8,22,8,38,3,11,76,90,34,5,42,81,25,17,44,30,1,86,117,2021-05-30_Poland_Slovenia,0,0.559322033898305,-0.10526315789473684,0.6904761904761905,-1.75,0.18181818181818182,-0.10526315789473684,0.6904761904761905
2021,2021-05-30,Slovenia,Poland,3,1,25,23,25,25,0,22,25,19,23,0,74,61,8,5,-,61,16,65,142,8,16,2,26,5,16,76,97,36,3,40,79,30,15,47,40,2,89,131,2021-05-30_Poland_Slovenia,1,0.6923076923076923,-0.14473684210526316,0.825,-4.0,0.3191489361702128,-0.14473684210526316,0.825
2021,2021-06-03,Argentina,Germany,3,2,25,23,17,25,15,19,25,25,23,13,80,70,8,2,-,70,17,48,135,8,24,14,46,2,26,77,105,33,4,50,87,51,12,68,37,2,93,132,2021-06-03_Argentina_Germany,1,1.1041666666666667,-0.3116883116883117,0.58,-1.1428571428571428,0.5735294117647058,-0.3116883116883117,0.58
2021,2021-06-03,Germany,Argentina,2,3,19,25,25,23,13,25,23,17,25,15,69,56,9,4,-,56,11,42,109,9,29,22,60,4,18,83,105,32,2,45,79,31,15,54,19,2,91,112,2021-06-03_Argentina_Germany,0,1.0714285714285714,-0.1686746987951807,0.6666666666666666,-0.9090909090909091,0.2962962962962963,-0.1686746987951807,0.6666666666666666
